"journal_name","issn","e_issn","category","edition","total_citations","impact_factor_2023","jif_quartile","jci_2023","percent_oa_gold"
"Journal of Luminescence","0022-2313","1872-7883","OPTICS","('SCIE',)","25,609","3.3","Q2","1.09","5.39"
"Life Science Alliance","","2575-1077","BIOLOGY","('SCIE',)","3,480","3.3","Q1","1.09","99.51"
"TECTONICS","0278-7407","1944-9194","GEOCHEMISTRY & GEOPHYSICS","('SCIE',)","14,612","3.3","Q1","1.09","35.01"
"INTELLIGENCE","0160-2896","1873-7935","PSYCHOLOGY, MULTIDISCIPLINARY","('SSCI',)","4,571","3.3","Q1","1.08","37.25"
"TOXICOLOGY AND APPLIED PHARMACOLOGY","0041-008X","1096-0333","('PHARMACOLOGY & PHARMACY', 'TOXICOLOGY')","('SCIE', 'SCIE')","19,012","3.3","('Q2', 'Q2')","1.07","21.98"
"JOURNAL OF ORGANIC CHEMISTRY","0022-3263","1520-6904","CHEMISTRY, ORGANIC","('SCIE',)","86,333","3.3","Q1","1.05","6.53"
"Agronomy-Basel","","2073-4395","('AGRONOMY', 'PLANT SCIENCES')","('SCIE', 'SCIE')","37,335","3.3","('Q1', 'Q1')","1.04","99.53"
"Journal of Asian Business and Economic Studies","","2515-964X","('BUSINESS', 'ECONOMICS')","('ESCI', 'ESCI')","292","3.3","('Q2', 'Q1')","1.03","98.18"
"JOURNAL OF ECONOMICS AND BUSINESS","0148-6195","0148-6195","BUSINESS, FINANCE","('ESCI',)","1,413","3.3","Q1","1.03","21.43"
"Chinese Optics Letters","1671-7694","1671-7694","OPTICS","('SCIE',)","3,736","3.3","Q2","1.01","0.45"
"ENTREPRENEURSHIP AND REGIONAL DEVELOPMENT","0898-5626","1464-5114","('BUSINESS', 'DEVELOPMENT STUDIES')","('SSCI', 'SSCI')","4,057","3.3","('Q2', 'Q1')","1.00","41.50"
"Journal of Sexual Medicine","1743-6095","1743-6109","UROLOGY & NEPHROLOGY","('SCIE',)","12,384","3.3","Q1","1.00","15.27"
"MICROBIAL ECOLOGY","0095-3628","1432-184X","('ECOLOGY', 'MARINE & FRESHWATER BIOLOGY', 'MICROBIOLOGY')","('SCIE', 'SCIE', 'SCIE')","12,746","3.3","('Q2', 'Q1', 'Q2')","1.00","22.48"
"MYCORRHIZA","0940-6360","1432-1890","('MYCOLOGY', 'PLANT SCIENCES')","('SCIE', 'SCIE')","4,313","3.3","('Q2', 'Q1')","1.00","28.33"
"REPRODUCTIVE TOXICOLOGY","0890-6238","1873-1708","('REPRODUCTIVE BIOLOGY', 'TOXICOLOGY')","('SCIE', 'SCIE')","7,165","3.3","('Q2', 'Q2')","1.00","25.19"
"GENETICS","0016-6731","1943-2631","GENETICS & HEREDITY","('SCIE',)","36,518","3.3","Q2","0.99","36.69"
"International Journal of Geomechanics","1532-3641","1943-5622","ENGINEERING, GEOLOGICAL","('SCIE',)","9,801","3.3","Q2","0.99","0.76"
"JOURNAL OF HYPERTENSION","0263-6352","1473-5598","PERIPHERAL VASCULAR DISEASE","('SCIE',)","16,709","3.3","Q1","0.99","22.02"
"MEDICAL CARE","0025-7079","1537-1948","('HEALTH CARE SCIENCES & SERVICES', 'HEALTH POLICY & SERVICES', 'PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH')","('SCIE', 'SSCI', 'SCIE')","20,035","3.3","('Q1', 'Q1', 'Q1')","0.98","19.69"
"COMPLEMENTARY THERAPIES IN MEDICINE","0965-2299","1873-6963","INTEGRATIVE & COMPLEMENTARY MEDICINE","('SCIE',)","5,793","3.3","Q1","0.97","96.55"
"IMF Economic Review","2041-4161","2041-417X","('BUSINESS, FINANCE', 'ECONOMICS')","('SSCI', 'SSCI')","1,350","3.3","('Q1', 'Q1')","0.97","0.00"
"Phytobiomes Journal","","2471-2906","('MICROBIOLOGY', 'PLANT SCIENCES')","('SCIE', 'SCIE')","769","3.3","('Q2', 'Q1')","0.97","96.69"
"HUMAN MUTATION","1059-7794","1098-1004","GENETICS & HEREDITY","('SCIE',)","12,745","3.3","Q2","0.96","72.05"
"Journal of Pharmaceutical Policy and Practice","","2052-3211","('HEALTH POLICY & SERVICES', 'PHARMACOLOGY & PHARMACY')","('ESCI', 'ESCI')","1,370","3.3","('Q1', 'Q2')","0.96","100.00"
"QUALITY OF LIFE RESEARCH","0962-9343","1573-2649","('HEALTH CARE SCIENCES & SERVICES', 'HEALTH POLICY & SERVICES', 'PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH')","('SCIE', 'SSCI', 'SCIE, SSCI')","20,378","3.3","('Q1', 'Q1', 'Q1')","0.96","48.29"
"JOURNAL OF ENGINEERING MECHANICS","0733-9399","1943-7889","ENGINEERING, MECHANICAL","('SCIE',)","13,503","3.3","Q1","0.95","2.34"
"German Journal of Human Resource Management-Zeitschrift fur Personalforschung","2397-0022","2397-0030","('MANAGEMENT', 'PSYCHOLOGY, APPLIED')","('SSCI', 'SSCI')","395","3.3","('Q2', 'Q2')","0.94","35.85"
"INTERNATIONAL JOURNAL OF PSYCHOLOGY","0020-7594","1464-066X","PSYCHOLOGY, MULTIDISCIPLINARY","('SSCI',)","4,117","3.3","Q1","0.94","30.22"
"Physica Medica-European Journal of Medical Physics","1120-1797","1724-191X","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING","('SCIE',)","5,690","3.3","Q1","0.94","28.67"
"ATTACHMENT & HUMAN DEVELOPMENT","1461-6734","1469-2988","PSYCHOLOGY, DEVELOPMENTAL","('SSCI',)","2,512","3.3","Q1","0.93","33.33"
"Geomechanics for Energy and the Environment","2352-3808","2352-3808","('ENERGY & FUELS', 'ENGINEERING, GEOLOGICAL', 'GEOSCIENCES, MULTIDISCIPLINARY')","('SCIE', 'SCIE', 'SCIE')","1,098","3.3","('Q3', 'Q2', 'Q2')","0.93","22.50"
"JOURNAL OF THE EGYPTIAN PUBLIC HEALTH ASSOCIATION","","2090-262X","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","('ESCI',)","652","3.3","Q1","0.93","100.00"
"Annals of Cardiothoracic Surgery","2225-319X","2304-1021","('CARDIAC & CARDIOVASCULAR SYSTEMS', 'SURGERY')","('SCIE', 'SCIE')","2,545","3.3","('Q2', 'Q1')","0.92","98.31"
"CARCINOGENESIS","0143-3334","1460-2180","ONCOLOGY","('SCIE',)","15,604","3.3","Q2","0.90","13.47"
"International Journal of Biomedical Imaging","1687-4188","1687-4196","ENGINEERING, BIOMEDICAL","('ESCI',)","845","3.3","Q2","0.90","100.00"
"OPTICAL AND QUANTUM ELECTRONICS","0306-8919","1572-817X","('ENGINEERING, ELECTRICAL & ELECTRONIC', 'OPTICS', 'QUANTUM SCIENCE & TECHNOLOGY')","('SCIE', 'SCIE', 'SCIE')","12,297","3.3","('Q2', 'Q2', 'Q3')","0.90","6.04"
"Journal of Financial Reporting and Accounting","1985-2517","2042-5856","BUSINESS, FINANCE","('ESCI',)","1,218","3.3","Q1","0.89","1.05"
"NUTRITION METABOLISM AND CARDIOVASCULAR DISEASES","0939-4753","1590-3729","('CARDIAC & CARDIOVASCULAR SYSTEMS', 'ENDOCRINOLOGY & METABOLISM', 'NUTRITION & DIETETICS')","('SCIE', 'SCIE', 'SCIE')","8,864","3.3","('Q2', 'Q2', 'Q2')","0.89","17.92"
"ELECTRIC POWER SYSTEMS RESEARCH","0378-7796","1873-2046","ENGINEERING, ELECTRICAL & ELECTRONIC","('SCIE',)","18,438","3.3","Q2","0.88","12.20"
"PHARMACOLOGY BIOCHEMISTRY AND BEHAVIOR","0091-3057","1873-5177","('BEHAVIORAL SCIENCES', 'NEUROSCIENCES', 'PHARMACOLOGY & PHARMACY')","('SCIE', 'SCIE', 'SCIE')","10,449","3.3","('Q1', 'Q2', 'Q2')","0.88","27.19"
"Therapeutic Advances in Respiratory Disease","1753-4658","1753-4666","RESPIRATORY SYSTEM","('SCIE',)","1,698","3.3","Q2","0.88","92.63"
"Journal of International Accounting Auditing and Taxation","1061-9518","1879-1603","BUSINESS, FINANCE","('ESCI',)","1,109","3.3","Q1","0.87","23.53"
"PHYSICS IN MEDICINE AND BIOLOGY","0031-9155","1361-6560","('ENGINEERING, BIOMEDICAL', 'RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING')","('SCIE', 'SCIE')","28,376","3.3","('Q2', 'Q1')","0.87","30.56"
"Soils and Foundations","0038-0806","2524-1788","('ENGINEERING, GEOLOGICAL', 'GEOSCIENCES, MULTIDISCIPLINARY')","('SCIE', 'SCIE')","10,295","3.3","('Q2', 'Q2')","0.87","94.03"
"SYSTEMATIC AND APPLIED MICROBIOLOGY","0723-2020","1618-0984","('BIOTECHNOLOGY & APPLIED MICROBIOLOGY', 'MICROBIOLOGY')","('SCIE', 'SCIE')","4,604","3.3","('Q2', 'Q2')","0.87","29.27"
"Anthropocene","2213-3054","2213-3054","('ENVIRONMENTAL SCIENCES', 'GEOGRAPHY, PHYSICAL', 'GEOSCIENCES, MULTIDISCIPLINARY')","('SCIE', 'SCIE', 'SCIE')","1,312","3.3","('Q2', 'Q1', 'Q2')","0.86","33.91"
"Journal of Sensor and Actuator Networks","","2224-2708","('COMPUTER SCIENCE, INFORMATION SYSTEMS', 'TELECOMMUNICATIONS')","('ESCI', 'ESCI')","1,229","3.3","('Q2', 'Q2')","0.86","100.00"
"Peer-to-Peer Networking and Applications","1936-6442","1936-6450","('COMPUTER SCIENCE, INFORMATION SYSTEMS', 'TELECOMMUNICATIONS')","('SCIE', 'SCIE')","2,897","3.3","('Q2', 'Q2')","0.86","3.34"
"Pituitary","1386-341X","1573-7403","ENDOCRINOLOGY & METABOLISM","('SCIE',)","3,406","3.3","Q2","0.86","31.73"
"COMPUTING","0010-485X","1436-5057","COMPUTER SCIENCE, THEORY & METHODS","('SCIE',)","3,029","3.3","Q2","0.85","14.97"
"Evolution Medicine and Public Health","","2050-6201","('EVOLUTIONARY BIOLOGY', 'PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH')","('SCIE', 'SCIE')","1,003","3.3","('Q2', 'Q1')","0.85","95.87"
"EXPERIMENTAL GERONTOLOGY","0531-5565","1873-6815","GERIATRICS & GERONTOLOGY","('SCIE',)","13,393","3.3","Q2","0.85","45.30"
"Molecular Brain","","1756-6606","NEUROSCIENCES","('SCIE',)","4,571","3.3","Q2","0.85","100.00"
"Journal of Evidence-Based Integrative Medicine","2515-690X","2515-690X","INTEGRATIVE & COMPLEMENTARY MEDICINE","('ESCI',)","1,473","3.3","Q1","0.84","98.28"
"PULMONARY PHARMACOLOGY & THERAPEUTICS","1094-5539","","('PHARMACOLOGY & PHARMACY', 'RESPIRATORY SYSTEM')","('SCIE', 'SCIE')","2,818","3.3","('Q2', 'Q2')","0.84","20.13"
"Therapeutic Advances in Chronic Disease","2040-6223","2040-6231","PHARMACOLOGY & PHARMACY","('SCIE',)","2,060","3.3","Q2","0.84","89.87"
"BIOORGANIC & MEDICINAL CHEMISTRY","0968-0896","1464-3391","('BIOCHEMISTRY & MOLECULAR BIOLOGY', 'CHEMISTRY, MEDICINAL', 'CHEMISTRY, ORGANIC')","('SCIE', 'SCIE', 'SCIE')","28,125","3.3","('Q2', 'Q2', 'Q1')","0.83","17.64"
"Geoscience Data Journal","2049-6060","2049-6060","('GEOSCIENCES, MULTIDISCIPLINARY', 'METEOROLOGY & ATMOSPHERIC SCIENCES')","('SCIE', 'SCIE')","575","3.3","('Q2', 'Q2')","0.83","83.93"
"International Journal of Agricultural Sustainability","1473-5903","1747-762X","('AGRICULTURE, MULTIDISCIPLINARY', 'GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY')","('SCIE', 'SCIE')","1,845","3.3","('Q1', 'Q3')","0.83","60.12"
"Radiation Oncology","","1748-717X","('ONCOLOGY', 'RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING')","('SCIE', 'SCIE')","8,431","3.3","('Q2', 'Q1')","0.83","100.00"
"Seminars in Vascular Surgery","0895-7967","1558-4518","('PERIPHERAL VASCULAR DISEASE', 'SURGERY')","('SCIE', 'SCIE')","1,025","3.3","('Q1', 'Q1')","0.83","18.83"
"BMJ Nutrition, Prevention & Health","","2516-5542","NUTRITION & DIETETICS","('ESCI',)","623","3.3","Q2","0.82","100.00"
"NATURAL HAZARDS","0921-030X","1573-0840","('GEOSCIENCES, MULTIDISCIPLINARY', 'METEOROLOGY & ATMOSPHERIC SCIENCES', 'WATER RESOURCES')","('SCIE', 'SCIE', 'SCIE')","23,987","3.3","('Q2', 'Q2', 'Q2')","0.82","13.63"
"Canadian Journal of School Psychology","0829-5735","2154-3984","PSYCHOLOGY, EDUCATIONAL","('SSCI',)","610","3.3","Q1","0.81","54.39"
"IEEE SOFTWARE","0740-7459","1937-4194","COMPUTER SCIENCE, SOFTWARE ENGINEERING","('SCIE',)","3,532","3.3","Q2","0.81","12.33"
"Journal of Frailty & Aging","2260-1341","2273-4309","GERIATRICS & GERONTOLOGY","('ESCI',)","1,143","3.3","Q2","0.81","17.19"
"Journal of Neurogastroenterology and Motility","2093-0879","2093-0887","('CLINICAL NEUROLOGY', 'GASTROENTEROLOGY & HEPATOLOGY')","('SCIE', 'SCIE')","2,459","3.3","('Q2', 'Q2')","0.81","99.43"
"JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE","0022-5142","1097-0010","('AGRICULTURE, MULTIDISCIPLINARY', 'CHEMISTRY, APPLIED', 'FOOD SCIENCE & TECHNOLOGY')","('SCIE', 'SCIE', 'SCIE')","36,788","3.3","('Q1', 'Q2', 'Q2')","0.81","10.24"
"Clinical Lung Cancer","1525-7304","1938-0690","ONCOLOGY","('SCIE',)","4,386","3.3","Q2","0.80","21.86"
"JCO Clinical Cancer Informatics","2473-4276","2473-4276","ONCOLOGY","('ESCI',)","2,193","3.3","Q2","0.80","21.79"
"PSYCHO-ONCOLOGY","1057-9249","1099-1611","('ONCOLOGY', 'PSYCHOLOGY', 'PSYCHOLOGY, MULTIDISCIPLINARY', 'SOCIAL SCIENCES, BIOMEDICAL')","('SCIE', 'SCIE', 'SSCI', 'SSCI')","14,321","3.3","('Q2', 'Q1', 'Q1', 'Q1')","0.80","33.45"
"XENOTRANSPLANTATION","0908-665X","1399-3089","('MEDICINE, RESEARCH & EXPERIMENTAL', 'TRANSPLANTATION')","('SCIE', 'SCIE')","1,604","3.3","('Q2', 'Q2')","0.80","20.21"
"Asian Journal of Shipping and Logistics","2092-5212","2352-4871","TRANSPORTATION","('ESCI',)","786","3.3","Q2","0.79","92.50"
"CALCIFIED TISSUE INTERNATIONAL","0171-967X","1432-0827","ENDOCRINOLOGY & METABOLISM","('SCIE',)","7,940","3.3","Q2","0.79","34.44"
"Journal of Cancer","1837-9664","1837-9664","ONCOLOGY","('SCIE',)","13,612","3.3","Q2","0.79","99.70"
"Journal of Economic Policy Reform","1748-7870","1748-7889","('DEVELOPMENT STUDIES', 'ECONOMICS')","('SSCI', 'SSCI')","604","3.3","('Q1', 'Q1')","0.79","20.00"
"Journal of Physiological Anthropology","1880-6805","1880-6805","PHYSIOLOGY","('SCIE',)","1,226","3.3","Q1","0.79","100.00"
"CANADIAN JOURNAL OF PSYCHIATRY-REVUE CANADIENNE DE PSYCHIATRIE","0706-7437","1497-0015","PSYCHIATRY","('SCIE', 'SSCI')","7,735","3.3","Q2","0.78","54.76"
"Environmental Epidemiology","","2474-7882","('ENVIRONMENTAL SCIENCES', 'PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH')","('ESCI', 'ESCI')","849","3.3","('Q2', 'Q1')","0.78","96.53"
"Genes and Nutrition","1555-8932","1865-3499","('GENETICS & HEREDITY', 'NUTRITION & DIETETICS')","('SCIE', 'SCIE')","1,747","3.3","('Q2', 'Q2')","0.78","100.00"
"Journal of Global Fashion Marketing","2093-2685","2325-4483","BUSINESS","('ESCI',)","732","3.3","Q2","0.78","7.29"
"PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF THE PACIFIC","0004-6280","1538-3873","ASTRONOMY & ASTROPHYSICS","('SCIE',)","15,399","3.3","Q2","0.78","37.16"
"Fermentation-Basel","","2311-5637","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","('SCIE',)","6,525","3.3","Q2","0.77","99.86"
"Journal of Zhejiang University-SCIENCE A","1673-565X","1862-1775","('ENGINEERING, MULTIDISCIPLINARY', 'PHYSICS, APPLIED')","('SCIE', 'SCIE')","2,683","3.3","('Q1', 'Q2')","0.77","0.00"
"ORGANIZATION","1350-5084","1461-7323","MANAGEMENT","('SSCI',)","4,606","3.3","Q2","0.77","37.82"
"Transportmetrica B-Transport Dynamics","2168-0566","2168-0582","('TRANSPORTATION', 'TRANSPORTATION SCIENCE & TECHNOLOGY')","('SSCI', 'SCIE')","1,006","3.3","('Q2', 'Q2')","0.77","8.93"
"BMC Medical Informatics and Decision Making","","1472-6947","MEDICAL INFORMATICS","('SCIE',)","9,744","3.3","Q2","0.76","99.70"
"Journal of Cardiopulmonary Rehabilitation and Prevention","1932-7501","1932-751X","CARDIAC & CARDIOVASCULAR SYSTEMS","('SCIE',)","2,500","3.3","Q2","0.76","4.21"
"NEUROMOLECULAR MEDICINE","1535-1084","1559-1174","NEUROSCIENCES","('SCIE',)","2,403","3.3","Q2","0.76","15.32"
"Asia-Pacific Journal of Business Administration","1757-4323","1757-4331","BUSINESS","('ESCI',)","857","3.3","Q2","0.75","2.04"
"Toxin Reviews","1556-9543","1556-9551","TOXICOLOGY","('SCIE',)","1,726","3.3","Q2","0.75","0.46"
"Geocarto International","1010-6049","1752-0762","('ENVIRONMENTAL SCIENCES', 'GEOSCIENCES, MULTIDISCIPLINARY', 'IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY', 'REMOTE SENSING')","('SCIE', 'SCIE', 'SCIE', 'SCIE')","6,094","3.3","('Q2', 'Q2', 'Q2', 'Q2')","0.74","21.60"
"Global Mental Health","2054-4251","2054-4251","PSYCHIATRY","('SCIE',)","842","3.3","Q2","0.74","100.00"
"ACTA BIOCHIMICA ET BIOPHYSICA SINICA","1672-9145","1745-7270","('BIOCHEMISTRY & MOLECULAR BIOLOGY', 'BIOPHYSICS')","('SCIE', 'SCIE')","5,355","3.3","('Q2', 'Q1')","0.73","59.32"
"Journal of Bronchology & Interventional Pulmonology","1944-6586","1948-8270","RESPIRATORY SYSTEM","('ESCI',)","1,201","3.3","Q2","0.73","11.97"
"JOURNAL OF NEUROENDOCRINOLOGY","0953-8194","1365-2826","('ENDOCRINOLOGY & METABOLISM', 'NEUROSCIENCES')","('SCIE', 'SCIE')","5,611","3.3","('Q2', 'Q2')","0.73","35.29"
"MICROBIAL PATHOGENESIS","0882-4010","1096-1208","('IMMUNOLOGY', 'MICROBIOLOGY')","('SCIE', 'SCIE')","15,413","3.3","('Q3', 'Q2')","0.72","8.61"
"BIOCHIMIE","0300-9084","1638-6183","BIOCHEMISTRY & MOLECULAR BIOLOGY","('SCIE',)","11,988","3.3","Q2","0.70","22.58"
"BMJ Open Gastroenterology","2054-4774","2054-4774","GASTROENTEROLOGY & HEPATOLOGY","('ESCI',)","1,330","3.3","Q2","0.70","99.54"
"Journal of the Mechanical Behavior of Biomedical Materials","1751-6161","1878-0180","('ENGINEERING, BIOMEDICAL', 'MATERIALS SCIENCE, BIOMATERIALS')","('SCIE', 'SCIE')","19,017","3.3","('Q2', 'Q3')","0.70","24.61"
"Sexual and Reproductive Health Matters","","2641-0397","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","('SSCI',)","875","3.3","Q1","0.70","99.47"
"Biotechnology for Biofuels and Bioproducts","","2731-3654","('BIOTECHNOLOGY & APPLIED MICROBIOLOGY', 'ENERGY & FUELS')","('SCIE', 'SCIE')","667","3.3","('Q2', 'Q3')","0.69","99.71"
"METALS AND MATERIALS INTERNATIONAL","1598-9623","2005-4149","('MATERIALS SCIENCE, MULTIDISCIPLINARY', 'METALLURGY & METALLURGICAL ENGINEERING')","('SCIE', 'SCIE')","6,100","3.3","('Q2', 'Q1')","0.69","4.74"
"Sustainable Futures","2666-1888","2666-1888","('ENVIRONMENTAL SCIENCES', 'OPERATIONS RESEARCH & MANAGEMENT SCIENCE')","('ESCI', 'ESCI')","407","3.3","('Q2', 'Q2')","0.69","99.02"
"BIOPHYSICAL CHEMISTRY","0301-4622","1873-4200","('BIOCHEMISTRY & MOLECULAR BIOLOGY', 'BIOPHYSICS', 'CHEMISTRY, PHYSICAL')","('SCIE', 'SCIE', 'SCIE')","4,504","3.3","('Q2', 'Q1', 'Q2')","0.68","16.72"
"Clinical Colorectal Cancer","1533-0028","1938-0674","ONCOLOGY","('SCIE',)","2,291","3.3","Q2","0.68","18.82"
"Memetic Computing","1865-9284","1865-9292","('COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE', 'OPERATIONS RESEARCH & MANAGEMENT SCIENCE')","('SCIE', 'SCIE')","770","3.3","('Q2', 'Q2')","0.68","8.64"
"Pathogens","","2076-0817","MICROBIOLOGY","('SCIE',)","18,231","3.3","Q2","0.68","99.51"
"Sustainability","","2071-1050","('ENVIRONMENTAL SCIENCES', 'ENVIRONMENTAL STUDIES', 'GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY')","('SCIE', 'SSCI', 'SCIE, SSCI')","229,213","3.3","('Q2', 'Q2', 'Q3')","0.68","99.63"
"Transportation Letters-The International Journal of Transportation Research","1942-7867","1942-7875","('TRANSPORTATION', 'TRANSPORTATION SCIENCE & TECHNOLOGY')","('SSCI', 'SCIE')","1,710","3.3","('Q2', 'Q2')","0.68","7.24"
"EXPERIMENTAL CELL RESEARCH","0014-4827","1090-2422","('CELL BIOLOGY', 'ONCOLOGY')","('SCIE', 'SCIE')","20,439","3.3","('Q3', 'Q2')","0.67","18.86"
"Frontiers in Environmental Science","","2296-665X","ENVIRONMENTAL SCIENCES","('SCIE',)","17,300","3.3","Q2","0.67","99.82"
"Journal of Clinical and Experimental Hepatology","0973-6883","2213-3453","GASTROENTEROLOGY & HEPATOLOGY","('ESCI',)","2,491","3.3","Q2","0.67","6.87"
"Tourist Studies","1468-7976","1741-3206","HOSPITALITY, LEISURE, SPORT & TOURISM","('SSCI',)","1,058","3.3","Q2","0.67","26.98"
"JMIR Cancer","2369-1999","2369-1999","ONCOLOGY","('ESCI',)","789","3.3","Q2","0.66","98.42"
"Journal of Manufacturing and Materials Processing","","2504-4494","('ENGINEERING, MANUFACTURING', 'ENGINEERING, MECHANICAL', 'MATERIALS SCIENCE, MULTIDISCIPLINARY')","('ESCI', 'ESCI', 'ESCI')","2,258","3.3","('Q2', 'Q1', 'Q2')","0.65","99.81"
"INFORMATICA","0868-4952","1822-8844","('COMPUTER SCIENCE, INFORMATION SYSTEMS', 'MATHEMATICS, APPLIED')","('SCIE', 'SCIE')","1,127","3.3","('Q2', 'Q1')","0.63","90.57"
"JOURNAL OF PROCESS CONTROL","0959-1524","1873-2771","('AUTOMATION & CONTROL SYSTEMS', 'ENGINEERING, CHEMICAL')","('SCIE', 'SCIE')","7,034","3.3","('Q2', 'Q2')","0.63","14.96"
"Frontiers in Climate","","2624-9553","('ENVIRONMENTAL SCIENCES', 'ENVIRONMENTAL STUDIES')","('ESCI', 'ESCI')","1,820","3.3","('Q2', 'Q2')","0.62","99.24"
"JOURNAL OF MICROBIOLOGY","1225-8873","1976-3794","MICROBIOLOGY","('SCIE',)","4,969","3.3","Q2","0.62","2.90"
"Membranes","","2077-0375","('CHEMISTRY, PHYSICAL', 'ENGINEERING, CHEMICAL', 'MATERIALS SCIENCE, MULTIDISCIPLINARY', 'POLYMER SCIENCE')","('SCIE', 'SCIE', 'SCIE', 'SCIE')","13,003","3.3","('Q2', 'Q2', 'Q2', 'Q2')","0.61","99.74"
"EFSA Journal","","1831-4732","FOOD SCIENCE & TECHNOLOGY","('SCIE',)","17,883","3.3","Q2","0.60","73.50"
"Energetic Materials Frontiers","","2666-6472","CHEMISTRY, MULTIDISCIPLINARY","('ESCI',)","345","3.3","Q2","0.60","95.05"
"Frontiers in Aging","","2673-6217","GERIATRICS & GERONTOLOGY","('ESCI',)","724","3.3","Q2","0.60","99.64"
"IMMUNOLOGIC RESEARCH","0257-277X","1559-0755","IMMUNOLOGY","('SCIE',)","4,031","3.3","Q3","0.59","25.20"
"Journal of Artificial Intelligence and Soft Computing Research","2083-2567","2449-6499","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","('SCIE',)","439","3.3","Q2","0.59","100.00"
"Journal of Management and Governance","1385-3457","1572-963X","MANAGEMENT","('ESCI',)","2,003","3.3","Q2","0.59","50.41"
"AUTOIMMUNITY","0891-6934","1607-842X","IMMUNOLOGY","('SCIE',)","2,538","3.3","Q3","0.58","33.94"
"Breast Cancer-Targets and Therapy","1179-1314","1179-1314","ONCOLOGY","('SCIE',)","1,310","3.3","Q2","0.58","98.22"
"ACS Organic & Inorganic Au","2694-247X","2694-247X","CHEMISTRY, MULTIDISCIPLINARY","('ESCI',)","310","3.3","Q2","0.57","71.97"
"IEEE Open Access Journal of Power and Energy","","2687-7910","('ENERGY & FUELS', 'ENGINEERING, ELECTRICAL & ELECTRONIC')","('ESCI', 'ESCI')","600","3.3","('Q3', 'Q2')","0.57","98.65"
"IMMUNOLOGY LETTERS","0165-2478","1879-0542","IMMUNOLOGY","('SCIE',)","6,165","3.3","Q3","0.57","20.22"
"Frontiers in Allergy","","2673-6101","ALLERGY","('ESCI',)","855","3.3","Q2","0.56","99.73"
"JOURNAL OF CELL SCIENCE","0021-9533","1477-9137","CELL BIOLOGY","('SCIE',)","38,579","3.3","Q3","0.55","40.59"
"SUPERLATTICES AND MICROSTRUCTURES","0749-6036","1096-3677","PHYSICS, CONDENSED MATTER","('SCIE',)","9,019","3.3","Q2","0.55","5.73"
"Journal of Physical Chemistry C","1932-7447","1932-7455","('CHEMISTRY, PHYSICAL', 'MATERIALS SCIENCE, MULTIDISCIPLINARY', 'NANOSCIENCE & NANOTECHNOLOGY')","('SCIE', 'SCIE', 'SCIE')","148,451","3.3","('Q2', 'Q2', 'Q3')","0.54","9.70"
"European Journal of Microbiology and Immunology","2062-8633","2062-8633","MICROBIOLOGY","('ESCI',)","674","3.3","Q2","0.51","95.00"
"CELL STRESS & CHAPERONES","1355-8145","1466-1268","CELL BIOLOGY","('SCIE',)","4,113","3.3","Q3","0.50","100.00"
"FARADAY DISCUSSIONS","1359-6640","1364-5498","CHEMISTRY, PHYSICAL","('SCIE',)","9,852","3.3","Q2","0.50","46.27"
"CELL BIOLOGY INTERNATIONAL","1065-6995","1095-8355","CELL BIOLOGY","('SCIE',)","6,652","3.3","Q3","0.49","7.36"
"Channels","1933-6950","1933-6969","BIOCHEMISTRY & MOLECULAR BIOLOGY","('SCIE',)","1,437","3.3","Q2","0.49","100.00"
"HEMATOLOGICAL ONCOLOGY","0278-0232","1099-1069","('HEMATOLOGY', 'ONCOLOGY')","('SCIE', 'SCIE')","2,344","3.3","('Q2', 'Q2')","0.49","30.61"
"Frontiers in Bioscience-Landmark","2768-6701","2768-6698","('BIOCHEMISTRY & MOLECULAR BIOLOGY', 'CELL BIOLOGY')","('SCIE', 'SCIE')","11,025","3.3","('Q2', 'Q3')","0.48","93.25"
"MINI-REVIEWS IN MEDICINAL CHEMISTRY","1389-5575","1875-5607","CHEMISTRY, MEDICINAL","('SCIE',)","6,702","3.3","Q2","0.47","0.00"
"Plasmonics","1557-1955","1557-1963","('CHEMISTRY, PHYSICAL', 'MATERIALS SCIENCE, MULTIDISCIPLINARY', 'NANOSCIENCE & NANOTECHNOLOGY')","('SCIE', 'SCIE', 'SCIE')","5,355","3.3","('Q2', 'Q2', 'Q3')","0.47","3.67"
