"","Rank","Title","Type","SJR","SJR.Best.Quartile","H.index","Total.Docs...2016.","Total.Docs...3years.","Total.Refs.","Total.Cites..3years.","Citable.Docs...3years.","Cites...Doc...2years.","Ref....Doc.","Country","Categories","ISSN","ISSN.1","ISSN.2"
"240",808,"Molecular Microbiology","journal",2.543,"Q1",215,308,1066,18639,3833,1007,3.59,60.52,"United Kingdom","Microbiology (Q1); Molecular Biology (Q1)","0950382X; 13652958","0950382X","13652958"
"241",809,"Proceedings of the Royal Society B: Biological Sciences","journal",2.541,"Q1",198,649,2279,30146,8840,2210,3.91,46.45,"United Kingdom","Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Environmental Science (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Medicine (miscellaneous) (Q1)","09628452","09628452",""
"242",815,"Cell Death and Disease","journal",2.536,"Q1",63,181,1593,8629,8487,1485,5.39,47.67,"United Kingdom","Cancer Research (Q1); Cell Biology (Q1); Cellular and Molecular Neuroscience (Q1); Immunology (Q1); Medicine (miscellaneous) (Q1)","20414889","20414889",""
"243",818,"Journal of Lipid Research","journal",2.533,"Q1",160,210,851,11811,3789,783,4.74,56.24,"United States","Biochemistry (Q1); Cell Biology (Q1); Endocrinology (Q1)","15397262; 00222275","15397262","00222275"
"244",823,"Seminars in Liver Disease","journal",2.523,"Q1",113,43,143,3076,743,125,5.61,71.53,"United States","Hepatology (Q1)","10988971; 02728087","10988971","02728087"
"245",832,"Chest","journal",2.509,"Q1",249,606,2086,14331,7422,1296,5.04,23.65,"United States","Cardiology and Cardiovascular Medicine (Q1); Critical Care and Intensive Care Medicine (Q1); Pulmonary and Respiratory Medicine (Q1)","00123692","00123692",""
"246",833,"Trends in Parasitology","journal",2.508,"Q1",121,129,279,6890,1336,233,5.06,53.41,"Netherlands","Infectious Diseases (Q1); Parasitology (Q1)","14714922","14714922",""
"247",839,"Current Opinion in Pharmacology","journal",2.501,"Q1",111,106,376,6079,1939,342,5.69,57.35,"Netherlands","Drug Discovery (Q1); Pharmacology (Q1)","14714892","14714892",""
"248",844,"Circulation. Cardiovascular genetics","journal",2.494,"Q1",59,77,327,2986,1234,275,4.44,38.78,"United States","Cardiology and Cardiovascular Medicine (Q1); Genetics (Q1); Genetics (clinical) (Q1); Medicine (miscellaneous) (Q1)","19423268; 1942325X","19423268","1942325X"
"249",845,"Molecular Oncology","journal",2.494,"Q1",58,131,414,6959,2098,385,5.33,53.12,"Netherlands","Cancer Research (Q1); Genetics (Q1); Molecular Medicine (Q1)","15747891","15747891",""
"250",849,"DNA Repair","journal",2.49,"Q1",101,137,454,9750,1520,424,3.65,71.17,"Netherlands","Biochemistry (Q1); Cell Biology (Q1); Molecular Biology (Q1)","15687864","15687864",""
"251",852,"Cancer and Metastasis Reviews","journal",2.489,"Q1",127,44,191,5172,1042,176,4.88,117.55,"Netherlands","Cancer Research (Q1); Oncology (Q1)","01677659; 15737233","01677659","15737233"
"252",857,"F1000Prime Reports","journal",2.48,"Q1",22,0,239,0,1168,238,5.59,0,"United Kingdom","Medicine (miscellaneous) (Q1)","20517599","20517599",""
"253",859,"Genome Biology and Evolution","journal",2.479,"Q1",47,211,747,6672,2686,724,3.63,31.62,"United Kingdom","Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1)","17596653","17596653",""
"254",866,"European Journal of Immunology","journal",2.47,"Q1",180,292,1055,12609,3789,954,3.91,43.18,"United Kingdom","Immunology (Q1); Immunology and Allergy (Q1)","15214141; 00142980","15214141","00142980"
"255",874,"RNA Biology","journal",2.459,"Q1",57,175,553,7255,1849,524,3.09,41.46,"United States","Cell Biology (Q1); Molecular Biology (Q1)","15476286; 15558584","15476286","15558584"
"256",877,"Annual Review of Animal Biosciences","journal",2.453,"Q1",17,17,70,2286,403,69,4.75,134.47,"United States","Animal Science and Zoology (Q1); Biotechnology (Q1); Genetics (Q1); Veterinary (miscellaneous) (Q1)","21658110; 21658102","21658110","21658102"
"257",883,"Epigenetics","journal",2.445,"Q1",67,85,474,4278,2263,462,4.6,50.33,"United States","Cancer Research (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1)","15592294; 15592308","15592294","15592308"
"258",890,"Journal of Medicinal Chemistry","journal",2.432,"Q1",222,789,2326,46173,14048,2264,6.31,58.52,"United States","Drug Discovery (Q1); Molecular Medicine (Q1)","15204804; 00222623","15204804","00222623"
"259",894,"Neurobiology of Aging","journal",2.427,"Q1",152,328,1342,16576,6080,1282,4.67,50.54,"Netherlands","Aging (Q1); Developmental Biology (Q1); Geriatrics and Gerontology (Q1); Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)","01974580","01974580",""
"260",903,"Retrovirology","journal",2.417,"Q1",70,87,422,4719,1536,393,3.42,54.24,"United Kingdom","Infectious Diseases (Q1); Virology (Q1)","17424690","17424690",""
"261",911,"Journal of Clinical Psychiatry","journal",2.406,"Q1",179,303,806,9500,2989,598,4.65,31.35,"United States","Arts and Humanities (miscellaneous) (Q1); Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1)","01606689","01606689",""
"262",914,"Oncologist","journal",2.404,"Q1",134,210,737,8049,2785,551,4.6,38.33,"United States","Cancer Research (Q1); Medicine (miscellaneous) (Q1); Oncology (Q1)","10837159; 1549490X","10837159","1549490X"
"263",916,"Journal of Leukocyte Biology","journal",2.402,"Q1",163,255,693,15253,2760,617,3.85,59.82,"United States","Cell Biology (Q1); Immunology (Q1)","07415400","07415400",""
"264",918,"Frontiers in Cellular Neuroscience","journal",2.4,"Q1",46,319,1213,21710,5477,1153,4.5,68.06,"Switzerland","Cellular and Molecular Neuroscience (Q1)","16625102","16625102",""
"265",924,"Journal of Controlled Release","journal",2.393,"Q1",215,593,1498,34948,11082,1378,7.79,58.93,"Netherlands","Pharmaceutical Science (Q1)","01683659","01683659",""
"266",925,"Bipolar Disorders","journal",2.392,"Q1",109,79,303,3952,1278,262,4.46,50.03,"United Kingdom","Biological Psychiatry (Q1); Psychiatry and Mental Health (Q1)","13985647; 13995618","13985647","13995618"
"267",940,"PLoS Neglected Tropical Diseases","journal",2.381,"Q1",87,876,2373,42369,9345,2250,3.9,48.37,"United States","Infectious Diseases (Q1); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1)","19352727; 19352735","19352727","19352735"
"268",941,"Journal of Clinical Periodontology","journal",2.38,"Q1",120,152,457,5411,1930,449,3.56,35.6,"United Kingdom","Periodontics (Q1)","1600051X; 03036979","1600051X","03036979"
"269",942,"Translational Psychiatry","journal",2.379,"Q1",45,99,493,5366,2152,479,3.7,54.2,"United Kingdom","Biological Psychiatry (Q1); Cellular and Molecular Neuroscience (Q1); Psychiatry and Mental Health (Q1)","21583188","21583188",""
"270",943,"Sleep","journal",2.377,"Q1",167,249,749,11249,3097,592,4.96,45.18,"United States","Neurology (clinical) (Q1); Physiology (medical) (Q1)","01618105","01618105",""
"271",949,"Nutrition Reviews","journal",2.367,"Q1",118,56,239,5344,1424,223,5.8,95.43,"United States","Medicine (miscellaneous) (Q1); Nutrition and Dietetics (Q1)","00296643","00296643",""
"272",952,"Journal of Autoimmunity","journal",2.362,"Q1",91,139,324,9216,2373,313,8.13,66.3,"United States","Immunology (Q1); Immunology and Allergy (Q1)","08968411; 10959157","08968411","10959157"
"273",959,"Theranostics","journal",2.355,"Q1",50,190,303,10662,2727,292,9.15,56.12,"Canada","Medicine (miscellaneous) (Q1); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q1)","18387640","18387640",""
"274",960,"Clinical Journal of the American Society of Nephrology","journal",2.354,"Q1",112,97,908,2682,3717,751,4.57,27.65,"United States","Critical Care and Intensive Care Medicine (Q1); Epidemiology (Q1); Nephrology (Q1); Transplantation (Q1)","1555905X; 15559041","1555905X","15559041"
"275",964,"Current Opinion in HIV and AIDS","journal",2.349,"Q1",45,92,242,5484,906,226,4.01,59.61,"United States","Hematology (Q1); Immunology (Q1); Infectious Diseases (Q1); Oncology (Q1); Oncology (nursing) (Q1); Virology (Q1)","1746630X","1746630X",""
"276",967,"Clinical Chemistry","journal",2.348,"Q1",186,315,968,5582,3414,576,5.38,17.72,"United States","Biochemistry (medical) (Q1); Clinical Biochemistry (Q1)","15308561; 00099147","15308561","00099147"
"277",970,"Aging","journal",2.346,"Q1",59,214,342,10252,1181,227,4.8,47.91,"United States","Aging (Q1); Cell Biology (Q1)","19454589; 15940667, 17208319","19454589","15940667, 17208319"
"278",974,"Biochemical Journal","journal",2.341,"Q1",231,348,1177,23843,4246,1126,3.72,68.51,"United Kingdom","Biochemistry (Q1); Cell Biology (Q1); Molecular Biology (Q1)","14708728; 02646021","14708728","02646021"
"279",988,"Cold Spring Harbor perspectives in medicine","journal",2.319,"Q1",57,92,475,10942,1854,471,3.39,118.93,"United States","Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)","21571422","21571422",""
"280",992,"Molecular Cancer","journal",2.316,"Q1",87,83,669,5494,4131,646,6.07,66.19,"United Kingdom","Cancer Research (Q1); Molecular Medicine (Q1); Oncology (Q1)","14764598","14764598",""
"281",996,"Journal of Cerebral Blood Flow and Metabolism","journal",2.3,"Q1",164,191,811,10265,3785,751,4.5,53.74,"United States","Cardiology and Cardiovascular Medicine (Q1); Neurology (Q1); Neurology (clinical) (Q1)","0271678X","0271678X",""
"282",997,"Evolutionary Applications","journal",2.299,"Q1",43,96,279,7937,1363,260,5.62,82.68,"United Kingdom","Agricultural and Biological Sciences (miscellaneous) (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1)","17524571; 17524563","17524571","17524563"
"283",1007,"Cancer Letters","journal",2.288,"Q1",145,519,1536,28175,9422,1443,6.47,54.29,"Netherlands","Cancer Research (Q1); Oncology (Q1)","03043835","03043835",""
"284",1009,"Clinical Pharmacology and Therapeutics","journal",2.283,"Q1",163,185,616,5745,3184,538,5.4,31.05,"United States","Pharmacology (Q1); Pharmacology (medical) (Q1)","00099236","00099236",""
"285",1016,"Biology of Sex Differences","journal",2.278,"Q1",23,68,77,3484,304,56,5.58,51.24,"United Kingdom","Endocrinology (Q1); Gender Studies (Q1)","20426410","20426410",""
"286",1017,"Free Radical Biology and Medicine","journal",2.276,"Q1",221,456,1263,26726,7068,1206,5.41,58.61,"Netherlands","Biochemistry (Q1); Physiology (medical) (Q1)","08915849","08915849",""
"287",1025,"Neuropharmacology","journal",2.264,"Q1",141,453,1271,30314,5980,1219,4.98,66.92,"United Kingdom","Cellular and Molecular Neuroscience (Q1); Pharmacology (Q1)","00283908","00283908",""
"288",1026,"Physiology","journal",2.261,"Q1",103,52,169,4396,711,131,5,84.54,"United States","Physiology (Q1)","15489213; 15489221","15489213","15489221"
"289",1033,"Analytical Chemistry","journal",2.255,"Q1",286,1447,5066,63034,30641,4977,6.23,43.56,"United States","Analytical Chemistry (Q1)","00032700; 15206882","00032700","15206882"
"290",1041,"Journal of Acquired Immune Deficiency Syndromes","journal",2.244,"Q1",135,365,1295,11873,4019,1044,3.74,32.53,"United States","Infectious Diseases (Q1); Pharmacology (medical) (Q1)","15254135","15254135",""
"291",1043,"Brain Pathology","journal",2.241,"Q1",115,109,282,5233,1084,219,5.31,48.01,"United States","Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1); Pathology and Forensic Medicine (Q1)","10156305","10156305",""
"292",1044,"Journal of Antimicrobial Chemotherapy","journal",2.24,"Q1",160,485,1614,14710,6761,1371,4.99,30.33,"United Kingdom","Infectious Diseases (Q1); Pharmacology (Q1); Pharmacology (medical) (Q1)","03057453; 14602091","03057453","14602091"
"293",1057,"Environmental Microbiology","journal",2.221,"Q1",148,464,1015,23062,4707,889,5.03,49.7,"United Kingdom","Ecology, Evolution, Behavior and Systematics (Q1); Microbiology (Q1)","14622920; 14622912","14622920","14622912"
"294",1058,"Journal of the American Heart Association","journal",2.219,"Q1",40,332,1019,12602,3582,928,3.18,37.96,"United Kingdom","Cardiology and Cardiovascular Medicine (Q1)","20479980","20479980",""
"295",1062,"Critical Care","journal",2.216,"Q1",126,406,2037,15082,6947,1244,4.93,37.15,"United Kingdom","Critical Care and Intensive Care Medicine (Q1); Medicine (miscellaneous) (Q1)","1466609X; 13648535","1466609X","13648535"
"296",1065,"FEBS Journal","journal",2.212,"Q1",175,321,1277,17320,5083,1221,3.53,53.96,"United Kingdom","Biochemistry (Q1); Cell Biology (Q1); Molecular Biology (Q1)","1742464X; 14321033","1742464X","14321033"
"297",1067,"Antimicrobial Agents and Chemotherapy","journal",2.21,"Q1",218,1068,3264,36971,13654,3038,4.2,34.62,"United States","Infectious Diseases (Q1); Pharmacology (Q1); Pharmacology (medical) (Q1)","00664804; 10986596","00664804","10986596"
"298",1068,"American Journal of Pathology","journal",2.209,"Q1",241,296,1046,14722,4257,964,4.01,49.74,"United States","Pathology and Forensic Medicine (Q1)","00029440; 15252191","00029440","15252191"
"299",1073,"Journal of Investigative Dermatology","journal",2.203,"Q1",166,405,1517,12516,5647,1114,4.67,30.9,"United Kingdom","Biochemistry (Q1); Cell Biology (Q1); Dermatology (Q1); Molecular Biology (Q1)","0022202X","0022202X",""
"300",1074,"Journal of Neuroinflammation","journal",2.2,"Q1",78,306,624,18101,3230,617,4.98,59.15,"United Kingdom","Cellular and Molecular Neuroscience (Q1); Immunology (Q1); Neurology (Q1); Neuroscience (miscellaneous) (Q1)","17422094","17422094",""
"301",1075,"Molecular Endocrinology","journal",2.2,"Q1",169,100,506,4830,1799,454,3.96,48.3,"United States","Endocrinology (Q1); Molecular Biology (Q1)","08888809","08888809",""
"302",1077,"Reviews in Endocrine and Metabolic Disorders","journal",2.199,"Q1",62,60,106,5381,532,98,5.27,89.68,"Netherlands","Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1)","13899155; 15732606","13899155","15732606"
"303",1078,"Current Opinion in Infectious Diseases","journal",2.199,"Q1",86,90,247,5128,1146,236,4.49,56.98,"United States","Infectious Diseases (Q1); Microbiology (medical) (Q1)","14736527; 09517375","14736527","09517375"
"304",1085,"Advances in Applied Microbiology","book serie",2.193,"Q1",54,18,57,3044,308,53,6.28,169.11,"United States","Applied Microbiology and Biotechnology (Q1)","00652164","00652164",""
"305",1089,"Schizophrenia Research","journal",2.188,"Q1",153,519,1452,17807,5434,1215,4.1,34.31,"Netherlands","Biological Psychiatry (Q1); Psychiatry and Mental Health (Q1)","09209964","09209964",""
"306",1093,"Annals of the New York Academy of Sciences","journal",2.183,"Q1",203,265,900,19162,3910,832,4.64,72.31,"United States","Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); History and Philosophy of Science (Q1)","00778923","00778923",""
"307",1095,"Metabolism: Clinical and Experimental","journal",2.183,"Q1",111,178,630,10244,3108,600,5.9,57.55,"Netherlands","Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1)","00260495","00260495",""
"308",1096,"Journal of Psychiatric Research","journal",2.182,"Q1",111,212,817,10948,3483,743,4.43,51.64,"United Kingdom","Arts and Humanities (miscellaneous) (Q1); Psychiatry and Mental Health (Q1); Biological Psychiatry (Q2)","00223956","00223956",""
"309",1100,"Endocrinology","journal",2.178,"Q1",229,460,1429,23030,5620,1359,4.1,50.07,"United States","Endocrinology (Q1)","00137227","00137227",""
"310",1102,"International Review of Cell and Molecular Biology","book serie",2.175,"Q1",100,73,162,10262,684,140,4.99,140.58,"Netherlands","Biochemistry (Q1); Cell Biology (Q1); Molecular Biology (Q1)","19376448","19376448",""
"311",1111,"Journal of Comparative Neurology","journal",2.159,"Q1",186,206,614,14787,1851,583,3.08,71.78,"United States","Neuroscience (miscellaneous) (Q1)","00219967","00219967",""
"312",1126,"Lab on a Chip - Miniaturisation for Chemistry and Biology","journal",2.147,"Q1",158,464,1605,24116,9515,1570,5.87,51.97,"United Kingdom","Biochemistry (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Chemistry (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1)","14730189; 14730197","14730189","14730197"
"313",1127,"Neurotherapeutics","journal",2.147,"Q1",92,85,237,7941,1144,216,5.29,93.42,"Netherlands","Neurology (clinical) (Q1); Pharmacology (Q1); Pharmacology (medical) (Q1)","19337213","19337213",""
"314",1130,"Journal of Clinical Microbiology","journal",2.14,"Q1",219,558,2448,14205,8709,2199,3.74,25.46,"United States","Microbiology (medical) (Q1)","1098660X; 00951137","1098660X","00951137"
"315",1133,"Philosophical Transactions of the Royal Society B: Biological Sciences","journal",2.137,"Q1",211,457,1869,35205,6691,1782,3.6,77.04,"United Kingdom","Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)","09628436","09628436",""
"316",1143,"Molecular Pharmacology","journal",2.131,"Q1",178,149,589,8720,2311,567,3.94,58.52,"United States","Molecular Medicine (Q1); Pharmacology (Q1)","15210111; 0026895X","15210111","0026895X"
"317",1149,"Drug Discovery Today","journal",2.124,"Q1",142,228,613,15345,3649,561,6.34,67.3,"Netherlands","Drug Discovery (Q1); Pharmacology (Q1)","13596446","13596446",""
"318",1150,"American Journal of Physiology - Endocrinology and Metabolism","journal",2.123,"Q1",171,187,775,10732,3090,751,4,57.39,"United States","Endocrinology, Diabetes and Metabolism (Q1); Physiology (Q1); Physiology (medical) (Q1)","15221555; 01931849","15221555","01931849"
"319",1155,"Journal of the International AIDS Society","journal",2.118,"Q1",38,130,381,5403,1391,341,3.32,41.56,"Switzerland","Infectious Diseases (Q1); Public Health, Environmental and Occupational Health (Q1)","17582652","17582652",""
"320",1156,"Clinical and Experimental Allergy","journal",2.117,"Q1",131,171,547,7623,2313,436,5.19,44.58,"United Kingdom","Immunology (Q1); Immunology and Allergy (Q1)","13652222; 09547894","13652222","09547894"
"321",1157,"Anesthesiology","journal",2.115,"Q1",198,484,1624,10944,4572,891,4.56,22.61,"United States","Anesthesiology and Pain Medicine (Q1)","15281175; 00033022","15281175","00033022"
"322",1163,"Journal of Molecular Medicine","journal",2.106,"Q1",120,129,399,6962,1765,358,4.39,53.97,"Germany","Drug Discovery (Q1); Genetics (clinical) (Q1); Molecular Medicine (Q1)","14321440; 09462716","14321440","09462716"
"323",1165,"Journal of Physiology","journal",2.104,"Q1",203,628,1459,35808,5078,1223,3.9,57.02,"United Kingdom","Physiology (Q1); Sports Science (Q1)","14697793; 00223751","14697793","00223751"
"324",1166,"Current Opinion in Rheumatology","journal",2.103,"Q1",94,95,304,4989,1333,283,4.81,52.52,"United States","Rheumatology (Q1)","10408711; 15316963","10408711","15316963"
"325",1177,"Clinical Microbiology and Infection","journal",2.09,"Q1",114,435,1193,9975,4730,1078,4.18,22.93,"United Kingdom","Infectious Diseases (Q1); Microbiology (medical) (Q1)","1198743X","1198743X",""
"326",1190,"Oncogenesis","journal",2.078,"Q1",22,28,142,1507,641,136,3.7,53.82,"United States","Cancer Research (Q1); Molecular Biology (Q1)","21579024","21579024",""
"327",1197,"CMGH Cellular and Molecular Gastroenterology and Hepatology","journal",2.067,"Q1",10,89,72,3200,154,43,3.58,35.96,"United States","Gastroenterology (Q1); Hepatology (Q1)","2352345X","2352345X",""
"328",1200,"BMC Genomics","journal",2.065,"Q1",123,1033,3673,61065,14789,3613,3.67,59.11,"United Kingdom","Biotechnology (Q1); Genetics (Q1)","14712164","14712164",""
"329",1201,"Journal of Hypertension","journal",2.065,"Q1",154,369,1148,12121,3889,806,3.91,32.85,"United States","Cardiology and Cardiovascular Medicine (Q1); Internal Medicine (Q1); Physiology (Q1)","02636352","02636352",""
"330",1215,"Experimental and Molecular Medicine","journal",2.046,"Q1",60,31,199,2042,922,188,4.83,65.87,"South Korea","Biochemistry (Q1); Clinical Biochemistry (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1); Molecular Medicine (Q1)","20926413; 12263613","20926413","12263613"
"331",1226,"Laboratory Investigation","journal",2.038,"Q1",134,122,363,6115,1648,355,4.85,50.12,"United Kingdom","Cell Biology (Q1); Molecular Biology (Q1); Pathology and Forensic Medicine (Q1)","00236837; 15300307","00236837","15300307"
"332",1230,"Obesity","journal",2.033,"Q1",164,369,1317,11484,4645,1184,3.58,31.12,"United States","Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1); Medicine (miscellaneous) (Q1); Nutrition and Dietetics (Q1)","19307381","19307381",""
"333",1231,"Molecular and Cellular Neurosciences","journal",2.031,"Q1",120,105,292,6166,1098,285,3.23,58.72,"United States","Cell Biology (Q1); Cellular and Molecular Neuroscience (Q1); Molecular Biology (Q1)","10447431; 10959327","10447431","10959327"
"334",1242,"Frontiers in Systems Neuroscience","journal",2.021,"Q1",43,120,526,8993,1783,501,3.35,74.94,"Switzerland","Cellular and Molecular Neuroscience (Q1); Cognitive Neuroscience (Q1); Developmental Neuroscience (Q1); Neuroscience (miscellaneous) (Q1)","16625137","16625137",""
"335",1246,"Journal of Infection","journal",2.014,"Q1",83,214,618,6954,1890,436,4.33,32.5,"United Kingdom","Infectious Diseases (Q1); Microbiology (medical) (Q1)","01634453","01634453",""
"336",1254,"Infectious Disease Clinics of North America","journal",2.011,"Q1",78,54,155,5411,578,135,4.92,100.2,"United Kingdom","Infectious Diseases (Q1); Microbiology (medical) (Q1)","08915520","08915520",""
"337",1263,"Journal of Dental Research","journal",2.003,"Q1",146,204,704,7163,3124,652,4.56,35.11,"United States","Dentistry (miscellaneous) (Q1)","00220345","00220345",""
"338",1264,"Cancer Journal","journal",2.002,"Q1",54,50,144,2620,580,128,4.53,52.4,"United States","Medicine (miscellaneous) (Q1)","15289117; 1540336X","15289117","1540336X"
"339",1269,"Infection and Immunity","journal",1.997,"Q1",192,290,1549,15692,5093,1479,3.4,54.11,"United States","Immunology (Q1); Infectious Diseases (Q1); Microbiology (Q1); Parasitology (Q1)","10985522; 00199567","10985522","00199567"
"340",1278,"Frontiers in Genetics","journal",1.99,"Q1",43,229,1110,15799,3789,990,3.86,68.99,"Switzerland","Genetics (Q1); Genetics (clinical) (Q1); Molecular Medicine (Q1)","16648021","16648021",""
"341",1283,"Bone Marrow Transplantation","journal",1.985,"Q1",113,352,954,9128,2868,671,3.74,25.93,"United Kingdom","Hematology (Q1); Transplantation (Q1)","02683369","02683369",""
"342",1284,"Current Topics in Microbiology and Immunology","book serie",1.985,"Q1",99,84,451,8091,1459,391,3.78,96.32,"Germany","Immunology (Q1); Immunology and Allergy (Q1); Microbiology (Q1); Microbiology (medical) (Q1)","0070217X","0070217X",""
"343",1287,"Frontiers in cellular and infection microbiology","journal",1.983,"Q1",34,208,414,13293,1642,373,3.61,63.91,"Switzerland","Immunology (Q1); Infectious Diseases (Q1); Medicine (miscellaneous) (Q1); Microbiology (Q1); Microbiology (medical) (Q1)","22352988","22352988",""
"344",1288,"Nutrition Research Reviews","journal",1.983,"Q1",65,21,54,3069,287,54,4.54,146.14,"United Kingdom","Medicine (miscellaneous) (Q1); Nutrition and Dietetics (Q1)","09544224; 14752700","09544224","14752700"
"345",1297,"Frontiers in Integrative Neuroscience","journal",1.977,"Q1",37,52,264,3612,936,247,3.4,69.46,"Switzerland","Cognitive Neuroscience (Q1); Sensory Systems (Q1); Cellular and Molecular Neuroscience (Q2)","16625145","16625145",""
"346",1309,"Journal of Affective Disorders","journal",1.967,"Q1",150,791,2036,38955,7736,2016,3.65,49.25,"Netherlands","Clinical Psychology (Q1); Psychiatry and Mental Health (Q1)","01650327","01650327",""
"347",1311,"Frontiers in Oncology","journal",1.966,"Q1",41,278,983,17459,4282,903,5.01,62.8,"Switzerland","Cancer Research (Q1); Oncology (Q1)","2234943X","2234943X",""
"348",1314,"Journal of Endocrinology","journal",1.965,"Q1",127,133,467,9475,2123,452,4.84,71.24,"United Kingdom","Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1)","00220795","00220795",""
"349",1321,"Gut Microbes","journal",1.959,"Q1",37,58,298,1881,1098,268,4.61,32.43,"United States","Gastroenterology (Q1); Infectious Diseases (Q1); Microbiology (Q1); Microbiology (medical) (Q1)","19490976; 19490984","19490976","19490984"
"350",1323,"Vaccine","journal",1.956,"Q1",151,984,3324,34468,10879,3057,3.46,35.03,"Netherlands","Immunology and Microbiology (miscellaneous)  (Q1); Infectious Diseases (Q1); Molecular Medicine (Q1); Public Health, Environmental and Occupational Health (Q1); Veterinary (miscellaneous) (Q1)","0264410X; 13588745","0264410X","13588745"
"351",1325,"Journal of Nutrition","journal",1.956,"Q1",217,304,944,14513,3688,881,4.21,47.74,"United States","Medicine (miscellaneous) (Q1); Nutrition and Dietetics (Q1)","15416100; 00223166","15416100","00223166"
"352",1331,"Pharmacological Research","journal",1.952,"Q1",108,417,459,32575,2327,435,4.82,78.12,"United States","Pharmacology (Q1)","10961186; 10436618","10961186","10436618"
"353",1339,"Journal of Innate Immunity","journal",1.949,"Q1",46,55,205,2509,714,185,3.78,45.62,"Switzerland","Immunology and Allergy (Q1)","16628128; 1662811X","16628128","1662811X"
"354",1349,"Cancer Prevention Research","journal",1.943,"Q1",68,114,436,5115,1688,411,4.09,44.87,"United States","Cancer Research (Q1); Medicine (miscellaneous) (Q1); Oncology (Q1)","19406207; 19406215","19406207","19406215"
"355",1356,"Advances in nutrition (Bethesda, Md.)","journal",1.938,"Q1",47,104,319,7608,1506,285,4.53,73.15,"United States","Food Science (Q1); Medicine (miscellaneous) (Q1); Nutrition and Dietetics (Q1)","21618313; 21565376","21618313","21565376"
"356",1363,"Journal of Mammary Gland Biology and Neoplasia","journal",1.932,"Q1",87,20,78,647,244,69,3.32,32.35,"United States","Cancer Research (Q1); Oncology (Q1)","15737039; 10833021","15737039","10833021"
"357",1365,"Cardiovascular Diabetology","journal",1.931,"Q1",54,163,503,7730,2173,490,4.74,47.42,"United Kingdom","Cardiology and Cardiovascular Medicine (Q1); Endocrinology, Diabetes and Metabolism (Q1)","14752840","14752840",""
"358",1366,"American Journal of Physiology - Lung Cellular and Molecular Physiology","journal",1.931,"Q1",144,237,688,13989,2736,654,4.21,59.03,"United States","Cell Biology (Q1); Physiology (Q1); Physiology (medical) (Q1); Pulmonary and Respiratory Medicine (Q1)","15221504; 10400605","15221504","10400605"
"359",1374,"International Endodontic Journal","journal",1.928,"Q1",96,181,463,4250,1284,393,3.18,23.48,"United Kingdom","Dentistry (miscellaneous) (Q1)","13652591; 01432885","13652591","01432885"
"360",1376,"Oncotarget","journal",1.927,"Q1",66,6391,4821,299768,22697,4429,5.07,46.9,"United States","Oncology (Q1)","19492553","19492553",""
"361",1379,"EBioMedicine","journal",1.923,"Q1",17,521,410,14955,793,214,3.71,28.7,"Netherlands","Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)","23523964","23523964",""
"362",1385,"Inflammatory Bowel Diseases","journal",1.916,"Q1",115,349,1165,15829,4431,974,4.44,45.36,"United States","Gastroenterology (Q1); Immunology and Allergy (Q1)","10780998","10780998",""
"363",1391,"Developmental Biology","journal",1.913,"Q1",198,397,1049,22391,2906,990,2.79,56.4,"United States","Cell Biology (Q1); Developmental Biology (Q1); Molecular Biology (Q1)","1095564X; 00121606","1095564X","00121606"
"364",1395,"Arthritis Research and Therapy","journal",1.911,"Q1",120,303,1101,11725,3961,997,3.58,38.7,"United Kingdom","Immunology (Q1); Immunology and Allergy (Q1); Rheumatology (Q1)","14786354","14786354",""
"365",1396,"Molecular Brain","journal",1.91,"Q1",40,99,243,5862,912,228,3.62,59.21,"United Kingdom","Molecular Biology (Q1); Cellular and Molecular Neuroscience (Q2)","17566606","17566606",""
